지번주소,Latitude,Longitude
서울특별시 구로구 개봉동 139-66번지,37.4995152,126.8503551
서울특별시 구로구 개봉동 139-91번지,37.4991008,126.8522317
서울특별시 서초구 우면동 176-12번지,37.467581,127.0219335
서울특별시 구로구 개봉동 139-91번지,37.4991008,126.8522317
서울특별시 서초구 양재동 243-3번지,37.472182,127.0400751
서울특별시 서대문구 남가좌동 205-1번지,37.5759613,126.920878
서울특별시 구로구 개봉동 18-29번지,37.5043095,126.841837
서울특별시 서초구 양재동 270-12번지,37.4751462,127.0439661
서울특별시 서대문구 북가좌동 312-15번지,37.5805007,126.9096345
서울특별시 구로구 개봉동 39-1번지,37.5017888,126.8429756
서울특별시 서대문구 북가좌동 312-15번지,37.5805007,126.9096345
서울특별시 구로구 개봉동 62-21번지,37.5019362,126.8459277
서울특별시 서대문구 북가좌동 73-10번지,37.5789921,126.9131203
서울특별시 구로구 개봉동 62-21번지,37.5019362,126.8459277
서울특별시 서대문구 북가좌동 75-50번지,37.5776757,126.9143796
서울특별시 구로구 개봉동 62-21번지,37.5019362,126.8459277
서울특별시 서대문구 북가좌동 75-50번지,37.5776757,126.9143796
서울특별시 구로구 개봉동 7-34번지,37.5036701,126.8446887
서울특별시 서대문구 북가좌동 80-171번지,37.5788384,126.9130547
서울특별시 구로구 개봉동 7-34번지,37.5036701,126.8446887
서울특별시 서대문구 연희동 194-40번지,37.564798,126.9298883
서울특별시 구로구 개봉동 7-34번지,37.5036701,126.8446887
서울특별시 서대문구 연희동 194-54번지,37.5649449,126.9307365
서울특별시 구로구 개봉동 7-34번지,37.5036701,126.8446887
서울특별시 서대문구 연희동 194-54번지,37.5649449,126.9307365
서울특별시 서대문구 연희동 345-24번지,37.5627366,126.9296464
서울특별시 서대문구 연희동 345-30번지,37.562539,126.9300597
서울특별시 서대문구 연희동 69-20번지,37.5675963,126.9322805
서울특별시 서대문구 연희동 69-20번지,37.5675963,126.9322805
서울특별시 구로구 고척동 273-50번지,37.5001525,126.8519763
서울특별시 구로구 개봉동 321-3번지,37.4928833,126.852835
서울특별시 구로구 개봉동 321-3번지,37.4928833,126.852835
서울특별시 구로구 개봉동 328-15번지,37.4902004,126.8555182
서울특별시 구로구 개봉동 328-15번지,37.4902004,126.8555182
서울특별시 구로구 개봉동 328-2번지,37.4914356,126.8553935
서울특별시 구로구 개봉동 328-2번지,37.4914356,126.8553935
서울특별시 구로구 개봉동 330-19번지,37.4908047,126.8544146
서울특별시 구로구 개봉동 330-19번지,37.4908047,126.8544146
서울특별시 구로구 개봉동 330-20번지,37.4909399,126.854402
서울특별시 구로구 개봉동 330-20번지,37.4909399,126.854402
서울특별시 구로구 개봉동 330-5번지,37.4909551,126.854627
서울특별시 구로구 개봉동 330-5번지,37.4909551,126.854627
서울특별시 구로구 개봉동 331-7번지,37.4906455,126.8541329
서울특별시 구로구 개봉동 344-30번지,37.488623,126.8543413
서울특별시 구로구 개봉동 348-3번지,37.4876608,126.8557749
서울특별시 구로구 개봉동 348-3번지,37.4876608,126.8557749
서울특별시 마포구 서교동 347-6번지,37.5557622,126.9253356
서울특별시 마포구 서교동 347-7번지,37.5556722,126.9252468
서울특별시 마포구 서교동 375-19번지,37.5539359,126.9182977
서울특별시 마포구 서교동 442-12번지,37.5487909,126.9199604
서울특별시 마포구 서교동 442-12번지,37.5487909,126.9199604
서울특별시 마포구 서교동 442-12번지,37.5487909,126.9199604
서울특별시 마포구 서교동 463-26번지,37.5547458,126.9185762
서울특별시 마포구 서교동 463-26번지,37.5547458,126.9185762
